t;T_surf;M_Europa;M_loss;R_Europa;Density
35400.0000;276.842590;5.75509508E+20;0.00000000;357802.844;3000.00000
35500.0000;276.842590;5.77099736E+20;0.00000000;358132.156;3000.00000
35600.0000;276.855469;5.78689964E+20;0.00000000;358460.875;3000.00000
35700.0000;276.855469;5.80280192E+20;0.00000000;358789.000;3000.00000
35800.0000;276.855469;5.81870420E+20;0.00000000;359116.531;3000.00000
35900.0000;276.855469;5.83460648E+20;0.00000000;359443.469;3000.00000
36000.0000;276.855469;5.85050876E+20;0.00000000;359769.812;3000.00000
36100.0000;276.855469;5.86641104E+20;0.00000000;360095.562;3000.00000
36200.0000;276.855469;5.88231332E+20;0.00000000;360420.719;3000.00000
36300.0000;276.855469;5.89821560E+20;0.00000000;360745.281;3000.00000
36400.0000;276.855469;5.91411788E+20;0.00000000;361069.281;3000.00000
36500.0000;276.855469;5.93002052E+20;0.00000000;361392.688;3000.00000
36600.0000;276.855469;5.94592315E+20;0.00000000;361715.500;3000.00000
36700.0000;276.855469;5.96182578E+20;0.00000000;362037.750;3000.00000
36800.0000;276.855469;5.97772841E+20;0.00000000;362359.438;3000.00000
36900.0000;276.855469;5.99363105E+20;0.00000000;362680.531;3000.00000
37000.0000;276.855469;6.00953368E+20;0.00000000;363001.062;3000.00000
37100.0000;276.855469;6.02543631E+20;0.00000000;363321.031;3000.00000
37200.0000;276.855469;6.04133894E+20;0.00000000;363640.438;3000.00000
37300.0000;276.855469;6.05724158E+20;0.00000000;363959.281;3000.00000
